City/Town,Ward,Pct,"William H. Sorrell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,55,0,0,55
Albany,,,29,0,0,29
Alburgh,,,71,2,0,73
Andover,,,41,0,0,41
Arlington,,,80,0,0,80
Athens,,,16,0,0,16
Bakersfield,,,57,0,0,57
Baltimore,,,15,0,0,15
Barnard,,,72,1,0,73
Barnet,,,78,0,0,78
"Barre City",-,"Washington 3-1",181,4,0,185
"Barre City",-,"Washington 3-2",130,0,0,130
"Barre City",-,"Washington 3-3",28,1,0,29
"Barre Town",,,311,7,0,318
Barton,,,96,3,0,99
Belvidere,,,7,1,0,8
Bennington,-,"Bennington 2-1",209,2,0,211
Bennington,-,"Bennington 2-1 Nb",52,0,0,52
Bennington,-,"Bennington 2-2",209,2,0,211
Bennington,-,"Bennington 5",1,0,0,1
Benson,,,34,0,0,34
Berkshire,,,45,0,0,45
Berlin,,,127,1,0,128
Bethel,,,125,1,0,126
Bloomfield,,,11,0,0,11
Bolton,,,67,2,0,69
Bradford,,,135,0,0,135
Braintree,,,66,0,0,66
Brandon,,,208,2,0,210
Brattleboro,-,"Windham 3-1",216,2,0,218
Brattleboro,-,"Windham 3-2",251,0,0,251
Brattleboro,-,"Windham 3-3",220,3,0,223
Bridgewater,,,69,0,0,69
Bridport,,,73,0,0,73
Brighton,,,80,0,0,80
Bristol,,,178,1,0,179
Brookfield,,,67,1,0,68
Brookline,,,33,0,0,33
Brownington,,,22,1,0,23
Brunswick,,,9,0,0,9
Burke,,,42,0,0,42
Burlington,-,"Chittenden 3-1",709,6,0,715
Burlington,-,"Chittenden 3-2",383,3,0,386
Burlington,-,"Chittenden 3-3",511,4,0,515
Burlington,-,"Chittenden 3-4",315,3,0,318
Burlington,-,"Chittenden 3-5","1,038",7,0,"1,045"
Burlington,-,"Chittenden 3-6",115,0,0,115
Cabot,,,57,0,0,57
Calais,,,168,0,0,168
Cambridge,,,100,0,0,100
Canaan,,,36,1,0,37
Castleton,,,59,1,0,60
Cavendish,,,86,0,0,86
Charleston,,,25,0,0,25
Charlotte,,,470,1,0,471
Chelsea,,,65,1,0,66
Chester,,,224,1,0,225
Chittenden,,,42,0,0,42
Clarendon,,,74,0,0,74
Colchester,-,"Chittenden 7-1",215,3,0,218
Colchester,-,"Chittenden 7-2",391,1,0,392
Concord,,,42,1,0,43
Corinth,,,99,0,0,99
Cornwall,,,105,0,0,105
Coventry,,,34,0,0,34
Craftsbury,,,85,0,0,85
Danby,,,112,0,0,112
Danville,,,93,0,0,93
Derby,,,160,1,0,161
Dorset,,,76,1,0,77
Dover,,,28,0,0,28
Dummerston,,,216,4,0,220
Duxbury,,,68,1,0,69
"E. Haven",,,18,0,0,18
"E. Montpelier",,,145,2,0,147
Eden,,,48,1,0,49
Elmore,,,65,0,0,65
Enosburgh,,,84,2,0,86
Essex,-,"Chittenden 6-1",233,1,0,234
Essex,-,"Chittenden 6-2",336,3,0,339
Essex,-,"Chittenden 6-3",102,0,0,102
"Fair Haven",,,44,0,0,44
Fairfax,,,109,1,0,110
Fairfield,,,104,2,0,106
Fairlee,,,62,0,0,62
Fayston,,,47,0,0,47
Ferrisburgh,,,159,0,0,159
Fletcher,,,42,0,0,42
Franklin,,,71,0,0,71
Georgia,,,111,0,0,111
Glover,,,51,0,0,51
Goshen,,,15,0,0,15
Grafton,,,42,0,0,42
Granby,,,3,0,0,3
"Grand Isle",,,132,0,0,132
Granville,,,19,0,0,19
Greensboro,,,69,1,0,70
Groton,,,36,0,0,36
Guildhall,,,5,0,0,5
Guilford,,,116,0,0,116
Halifax,,,24,1,0,25
Hancock,,,17,0,0,17
Hardwick,,,160,3,0,163
Hartford,-,"Windsor 6-1",85,1,0,86
Hartford,-,"Windsor 6-2",340,2,0,342
Hartland,,,422,2,0,424
Highgate,,,109,3,0,112
Hinesburg,-,"Chittenden 1-1",225,1,0,226
Hinesburg,-,"Chittenden 1-2",13,0,0,13
Holland,,,17,2,0,19
Hubbardton,,,15,0,0,15
Huntington,,,152,0,0,152
"Hyde Park",,,102,1,0,103
Ira,-,"Rutland Rutland 1-1",2,0,0,2
Ira,-,"Rutland Rutland 1-2",21,0,0,21
Irasburg,,,24,2,0,26
"Isle La Motte",,,49,0,0,49
Jamaica,,,47,0,0,47
Jay,,,15,0,0,15
Jericho,,,308,1,0,309
Johnson,,,57,0,0,57
Killington,,,26,1,0,27
Kirby,,,20,0,0,20
Landgrove,,,21,0,0,21
Leicester,,,57,0,0,57
Lemington,,,2,0,0,2
Lincoln,,,123,0,0,123
Londonderry,,,67,0,0,67
Lowell,,,36,0,0,36
Ludlow,,,231,1,0,232
Lunenburg,,,63,3,0,66
Lyndon,,,121,1,0,122
Maidstone,,,8,0,0,8
Manchester,,,126,0,0,126
Marlboro,,,90,12,0,102
Marshfield,,,67,1,0,68
Mendon,,,45,0,0,45
Middlebury,,,401,2,0,403
Middlesex,,,126,1,0,127
"Middletown Springs",,,75,0,0,75
Milton,-,"Chittenden 9",247,1,0,248
Milton,-,"Grand Isle-Chittenden 1-1",37,0,0,37
Monkton,,,74,0,0,74
Montgomery,,,43,1,0,44
Montpelier,,,706,3,0,709
Moretown,,,126,4,0,130
Morgan,,,32,1,0,33
Morristown,,,242,1,0,243
"Mount Holly",,,120,0,0,120
"Mount Tabor",,,15,0,0,15
"New Haven",,,112,1,0,113
Newark,,,18,1,0,19
Newbury,-,"Center Town House",61,0,0,61
Newbury,-,"Town Office",23,0,0,23
Newbury,-,"West River Village",21,0,0,21
Newfane,,,171,1,0,172
"Newport City",,,161,1,0,162
"Newport Town",,,58,0,0,58
"N. Hero",,,40,0,0,40
Northfield,,,230,2,0,232
Norton,,,5,0,0,5
Norwich,,,704,0,0,704
Orange,,,20,0,0,20
Orwell,,,53,1,0,54
Panton,,,40,0,0,40
Pawlet,,,55,1,0,56
Peacham,,,61,0,0,61
Peru,,,33,0,0,33
Pittsfield,,,25,0,0,25
Pittsford,,,86,0,0,86
Plainfield,,,82,2,0,84
Plymouth,,,36,0,0,36
Pomfret,,,84,2,0,86
Poultney,,,89,0,0,89
Pownal,,,120,1,0,121
Proctor,,,53,0,0,53
Putney,,,339,2,0,341
Randolph,,,246,1,0,247
Reading,,,57,0,0,57
Readsboro,,,40,0,0,40
Richford,,,99,1,0,100
Richmond,,,330,1,0,331
Ripton,,,65,0,0,65
Rochester,,,108,0,0,108
Rockingham,,,409,4,0,413
Roxbury,,,38,0,0,38
Royalton,,,126,1,0,127
Rupert,,,42,0,0,42
"Rutland City",-,"Rutland 5-1",173,0,0,173
"Rutland City",-,"Rutland 5-2",141,1,0,142
"Rutland City",-,"Rutland 5-3",83,2,0,85
"Rutland City",-,"Rutland 5-4",164,1,0,165
"Rutland Town",-,"Elem. School",108,1,0,109
"Rutland Town",-,"Town Hall",39,0,0,39
Ryegate,,,45,0,0,45
Salisbury,,,55,2,0,57
Sandgate,,,28,0,0,28
Searsburg,,,3,0,0,3
Shaftsbury,,,230,0,0,230
Sharon,,,116,1,0,117
Sheffield,,,29,0,0,29
Shelburne,-,"Chittenden 5-1",372,4,0,376
Shelburne,-,"Chittenden 5-2",225,2,0,227
Sheldon,,,60,2,0,62
Shoreham,,,57,1,0,58
Shrewsbury,,,64,0,0,64
"S. Burlington",-,"Chittenden 3-10",248,1,0,249
"S. Burlington",-,"Chittenden 3-7",315,4,0,319
"S. Burlington",-,"Chittenden 3-8",354,2,0,356
"S. Burlington",-,"Chittenden 3-9",277,1,0,278
"S. Hero",,,155,0,0,155
Springfield,-,"Windsor 1-1",6,0,0,6
Springfield,-,"Windsor 1-2",519,3,0,522
"St. Albans City",,,339,8,0,347
"St. Albans Town",,,227,5,0,232
"St. George",,,32,0,0,32
"St. Johnsbury",,,190,0,0,190
Stamford,,,28,0,0,28
Stannard,,,24,0,0,24
Starksboro,,,94,1,0,95
Stockbridge,,,38,0,0,38
Stowe,,,173,1,0,174
Strafford,,,183,0,0,183
Stratton,,,8,0,0,8
Sudbury,,,40,0,0,40
Sunderland,,,35,0,0,35
Sutton,,,23,2,0,25
Swanton,,,298,3,0,301
Thetford,,,348,1,0,349
Tinmouth,,,38,0,0,38
Topsham,,,21,0,0,21
Townshend,,,82,0,0,82
Troy,,,45,0,0,45
Tunbridge,,,72,0,0,72
Underhill,,,197,0,0,197
Vergennes,,,131,0,0,131
Vernon,,,75,5,0,80
Vershire,,,51,0,0,51
Victory,,,1,0,0,1
Waitsfield,,,107,0,0,107
Walden,,,55,0,0,55
Wallingford,,,109,1,0,110
Waltham,,,29,0,0,29
Wardsboro,,,39,0,0,39
Warren,,,80,1,0,81
Washington,,,47,0,0,47
Waterbury,,,215,2,0,217
Waterford,,,31,0,0,31
Waterville,,,16,0,0,16
Weathersfield,,,156,1,0,157
Wells,,,35,0,0,35
"W. Fairlee",,,33,0,0,33
"W. Haven",,,8,0,0,8
"W. Rutland",,,48,1,0,49
"W. Windsor",,,107,1,0,108
Westfield,,,24,0,0,24
Westford,,,101,1,0,102
Westminster,-,"Windham 4",19,0,0,19
Westminster,-,"Windham 5",287,2,0,289
Westmore,,,21,0,0,21
Weston,,,65,0,0,65
Weybridge,,,81,0,0,81
Wheelock,,,24,0,0,24
Whiting,,,31,2,0,33
Whitingham,,,37,0,0,37
Williamstown,,,83,2,0,85
Williston,,,537,1,0,538
Wilmington,,,63,1,0,64
Windham,,,28,0,0,28
Windsor,,,264,3,0,267
Winhall,,,35,0,0,35
Winooski,,,313,4,0,317
Wolcott,,,73,2,0,75
Woodbury,,,101,2,0,103
Woodford,,,15,0,0,15
Woodstock,,,358,1,0,359
Worcester,,,122,2,0,124
TOTALS,,,"32,632",249,0,"32,881"
