City/Town,Ward,Pct,"Peter Shumlin","Doug Racine","Deb Markowitz","Matt Dunne","Susan Bartlett",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,
Addison,,,39,22,45,26,15,0,3,150
Albany,,,23,30,26,10,7,0,0,96
Alburgh,,,25,50,52,17,19,0,6,169
Andover,,,18,9,18,11,4,0,0,60
Arlington,,,53,42,75,24,10,0,2,206
Athens,,,8,6,9,4,0,0,0,27
Bakersfield,,,32,47,35,27,8,2,6,157
Baltimore,,,2,3,2,6,0,0,0,13
Barnard,,,22,15,26,80,8,3,2,156
Barnet,,,33,39,61,37,12,2,1,185
"Barre City",-,"Washington 3-1",77,114,87,62,23,2,4,369
"Barre City",-,"Washington 3-2",74,99,87,32,10,5,5,312
"Barre City",-,"Washington 3-3",16,19,17,4,5,0,0,61
"Barre Town",,,152,229,185,122,38,4,7,737
Barton,,,27,48,42,17,11,3,4,152
Belvidere,,,5,11,1,2,7,0,0,26
Bennington,-,"Bennington 2-1",306,108,290,115,26,3,91,939
Bennington,-,"Bennington 2-2",183,83,181,108,16,1,13,585
Benson,,,18,21,31,10,4,0,1,85
Berkshire,,,18,30,31,5,7,6,2,99
Berlin,,,59,92,91,58,17,1,3,321
Bethel,,,38,91,37,81,12,1,4,264
Bloomfield,,,3,2,2,8,0,0,3,18
Bolton,,,26,42,48,26,5,0,1,148
Bradford,,,65,46,71,104,23,4,12,325
Braintree,,,21,40,20,34,2,2,1,120
Brandon,,,60,89,131,72,19,3,5,379
Brattleboro,-,"Windham 3-1",409,83,115,130,13,4,5,759
Brattleboro,-,"Windham 3-2",326,79,80,105,11,6,3,610
Brattleboro,-,"Windham 3-3",398,57,60,99,14,3,2,633
Bridgewater,,,19,19,15,45,9,3,2,112
Bridport,,,36,51,26,24,8,0,5,150
Brighton,,,27,33,32,27,3,3,4,129
Bristol,,,76,143,79,98,19,10,1,426
Brookfield,,,44,42,46,49,4,2,3,190
Brookline,,,37,11,13,6,2,0,0,69
Brownington,,,9,18,16,9,4,2,2,60
Brunswick,,,6,11,3,0,2,0,1,23
Burke,,,23,35,22,23,14,0,3,120
Burlington,-,"Chittenden 3-1",275,350,282,177,58,4,15,"1,161"
Burlington,-,"Chittenden 3-2",167,216,139,125,42,0,8,697
Burlington,-,"Chittenden 3-3",245,287,161,189,34,4,13,933
Burlington,-,"Chittenden 3-4",162,233,152,133,25,3,6,714
Burlington,-,"Chittenden 3-5",459,543,361,320,53,4,8,"1,748"
Burlington,-,"Chittenden 3-6",43,60,52,25,9,4,2,195
Cabot,,,32,48,50,18,8,0,1,157
Calais,,,103,124,88,55,14,0,4,388
Cambridge,,,86,78,54,69,68,5,2,362
Canaan,,,5,24,21,10,5,5,5,75
Castleton,,,53,60,72,31,11,2,2,231
Cavendish,,,28,23,40,21,8,1,2,123
Charleston,,,18,19,24,13,6,1,0,81
Charlotte,,,168,192,200,204,42,10,13,829
Chelsea,,,22,28,37,55,7,0,1,150
Chester,,,98,69,87,104,16,0,4,378
Chittenden,,,38,34,33,38,7,0,2,152
Clarendon,,,39,39,53,28,10,1,5,175
Colchester,-,"Chittenden 7-1",125,234,168,115,44,1,6,693
Colchester,-,"Chittenden 7-2",207,223,209,108,54,2,8,811
Concord,,,13,26,25,10,5,4,0,83
Corinth,,,44,39,33,50,4,1,6,177
Cornwall,,,80,39,46,94,8,1,1,269
Coventry,,,18,21,27,13,3,0,1,83
Craftsbury,,,57,52,40,27,16,2,1,195
Danby,,,16,15,49,17,8,1,5,111
Danville,,,55,66,64,37,10,1,3,236
Derby,,,81,109,117,59,16,3,7,392
Dorset,,,61,17,55,86,13,5,2,239
Dover,,,52,14,35,22,11,0,3,137
Dummerston,,,291,36,57,60,4,1,1,450
Duxbury,,,24,88,53,45,14,0,3,227
"E. Haven",,,5,9,5,2,4,0,1,26
"E. Montpelier",,,142,139,134,90,34,0,3,542
Eden,,,16,19,10,14,8,3,1,71
Elmore,,,31,30,20,25,29,0,1,136
Enosburgh,,,50,54,56,26,13,19,11,229
Essex,-,"Chittenden 6-1",177,221,207,117,36,3,14,775
Essex,-,"Chittenden 6-2",206,247,212,174,53,2,7,901
Essex,-,"Chittenden 6-3",56,64,83,66,18,0,2,289
"Fair Haven",,,39,39,52,27,9,4,3,173
Fairfax,,,90,103,107,54,22,4,3,383
Fairfield,,,29,77,69,28,16,26,8,253
Fairlee,,,20,22,27,33,6,0,1,109
Fayston,,,38,44,50,35,3,0,0,170
Ferrisburgh,,,73,92,65,86,14,0,3,333
Fletcher,,,26,34,37,29,6,2,0,134
Franklin,,,16,40,40,12,7,10,0,125
Georgia,,,49,81,104,29,18,3,7,291
Glover,,,32,34,41,21,10,2,1,141
Goshen,,,6,15,17,7,1,0,1,47
Grafton,,,45,14,20,17,5,1,2,104
Granby,,,2,3,4,0,1,0,0,10
"Grand Isle",,,69,100,81,28,15,27,8,328
Granville,,,14,0,14,22,2,0,1,53
Greensboro,,,48,22,30,19,5,0,0,124
Groton,,,12,17,36,22,2,1,1,91
Guildhall,,,11,4,10,1,3,4,2,35
Guilford,,,222,30,49,70,9,0,2,382
Halifax,,,40,11,23,8,7,0,2,91
Hancock,,,6,1,17,4,5,0,0,33
Hardwick,,,79,60,66,35,27,0,2,269
Hartford,-,"Windsor 6-1",44,40,39,100,4,0,4,231
Hartford,-,"Windsor 6-2",110,130,94,336,17,1,11,699
Hartland,,,44,56,48,584,13,1,3,749
Highgate,,,27,73,82,31,14,3,5,235
Hinesburg,-,"Chittenden 1-1",120,245,128,97,26,0,6,622
Hinesburg,-,"Chittenden 1-2",9,7,4,8,1,0,0,29
Holland,,,5,20,14,9,5,1,1,55
Hubbardton,,,3,8,24,10,2,1,1,49
Huntington,,,84,129,83,55,10,0,5,366
"Hyde Park",,,48,60,53,63,96,5,1,326
Ira,-,"Rutland 1-1",0,1,0,0,0,0,0,1
Ira,-,"Rutland 1-2",3,8,8,16,2,0,3,40
Irasburg,,,8,31,29,10,9,2,0,89
"Isle La Motte",,,15,31,21,14,15,1,3,100
Jamaica,,,38,14,38,17,7,0,2,116
Jay,,,13,12,13,2,6,1,0,47
Jericho,,,173,249,203,129,48,6,4,812
Johnson,,,55,44,44,42,56,1,2,244
Killington,,,25,19,20,23,1,1,3,92
Kirby,,,8,16,6,5,3,0,1,39
Landgrove,,,11,3,12,13,0,0,0,39
Leicester,,,29,22,19,18,6,0,0,94
Lemington,,,0,0,3,0,1,0,0,4
Lincoln,,,86,66,68,54,10,2,2,288
Londonderry,,,51,23,38,23,4,0,7,146
Lowell,,,10,33,15,11,6,1,2,78
Ludlow,,,38,37,75,75,11,2,3,241
Lunenburg,,,35,23,36,12,11,8,8,133
Lyndon,,,40,112,86,47,19,1,1,306
Maidstone,,,2,3,10,2,2,2,0,21
Manchester,,,62,52,134,94,14,1,4,361
Marlboro,,,162,17,42,34,7,0,3,265
Marshfield,,,71,104,76,34,9,0,2,296
Mendon,,,31,28,41,19,7,0,1,127
Middlebury,,,385,183,193,371,40,2,3,"1,177"
Middlesex,,,93,127,147,57,17,0,5,446
"Middletown Springs",,,25,28,25,28,5,0,2,113
Milton,-,"Chittenden 9",126,199,157,70,39,5,6,602
Milton,-,"Grand Isle-Chittenden 1-1",38,24,27,11,8,0,4,112
Monkton,,,53,115,66,61,11,4,1,311
Montgomery,,,30,45,35,10,15,0,2,137
Montpelier,,,502,585,577,372,77,5,10,"2,128"
Moretown,,,59,83,58,65,12,0,6,283
Morgan,,,13,15,24,10,2,0,2,66
Morristown,,,82,115,96,101,126,0,11,531
"Mount Holly",,,23,48,49,33,6,2,1,162
"Mount Tabor",,,3,3,3,6,0,0,0,15
"New Haven",,,60,63,49,80,17,1,2,272
Newark,,,11,10,19,4,5,2,1,52
Newbury,,,62,49,57,25,9,0,2,204
Newfane,,,236,38,63,43,8,0,8,396
"Newport City",,,56,84,86,30,23,5,0,284
"Newport Town",,,15,31,30,16,3,0,2,97
"N. Hero",,,32,29,38,21,8,2,1,131
Northfield,,,93,125,144,49,22,1,4,438
Norton,,,1,4,4,1,0,1,0,11
Norwich,,,192,159,130,393,16,0,8,898
Orange,,,12,21,18,9,3,2,0,65
Orwell,,,28,29,23,15,9,1,3,108
Panton,,,19,10,13,20,0,1,1,64
Pawlet,,,24,23,44,21,10,0,5,127
Peacham,,,61,35,47,27,2,0,2,174
Peru,,,11,3,22,10,3,0,2,51
Pittsfield,,,14,17,28,23,3,2,2,89
Pittsford,,,48,66,68,33,18,2,1,236
Plainfield,,,65,71,84,36,6,1,7,270
Plymouth,,,17,7,30,19,5,0,1,79
Pomfret,,,43,36,21,76,7,0,4,187
Poultney,,,70,44,62,44,11,0,2,233
Pownal,,,90,22,79,23,11,0,3,228
Proctor,,,59,59,89,32,10,1,6,256
Putney,,,393,34,65,76,4,0,0,572
Randolph,,,77,188,86,210,27,1,5,594
Reading,,,20,15,17,56,7,0,0,115
Readsboro,,,15,8,26,4,6,0,1,60
Richford,,,25,63,43,20,7,1,4,163
Richmond,,,130,308,185,93,48,0,4,768
Ripton,,,41,24,25,53,5,1,1,150
Rochester,,,36,102,49,51,14,8,6,266
Rockingham,,,361,100,172,150,31,4,23,841
Roxbury,,,27,12,25,13,2,0,1,80
Royalton,,,67,52,75,143,22,4,27,390
Rupert,-,"Bennington 5",2,2,3,5,0,0,1,13
Rupert,-,"Rutland 8",20,10,23,13,3,0,0,69
"Rutland City",-,"Rutland 5-1",103,125,108,100,22,4,8,470
"Rutland City",-,"Rutland 5-2",87,119,93,76,17,1,5,398
"Rutland City",-,"Rutland 5-3",49,76,49,58,12,3,6,253
"Rutland City",-,"Rutland 5-4",67,101,93,50,23,6,4,344
"Rutland Town",,,76,141,132,81,43,6,10,489
Ryegate,,,24,35,32,21,10,0,0,122
Salisbury,,,19,25,33,29,6,1,3,116
Sandgate,,,8,2,28,1,3,0,2,44
Searsburg,,,3,2,3,0,0,0,2,10
Shaftsbury,,,121,53,152,68,16,1,10,421
Sharon,,,49,18,44,73,8,0,0,192
Sheffield,,,4,10,19,8,6,0,1,48
Shelburne,-,"Chittenden 5-1",177,313,181,136,40,3,5,855
Shelburne,-,"Chittenden 5-2",119,153,139,115,24,2,3,555
Sheldon,,,27,59,37,19,11,21,9,183
Shoreham,,,36,39,34,53,10,1,0,173
Shrewsbury,,,25,58,41,28,7,1,2,162
"S. Burlington",-,"Chittenden 3-10",136,176,128,99,12,2,4,557
"S. Burlington",-,"Chittenden 3-7",195,218,166,89,25,0,9,702
"S. Burlington",-,"Chittenden 3-8",177,262,217,135,44,6,8,849
"S. Burlington",-,"Chittenden 3-9",118,170,126,66,28,5,4,517
"S. Hero",,,68,115,86,34,16,10,4,333
Springfield,-,"Windsor 1-1",2,1,3,3,0,0,0,9
Springfield,-,"Windsor 1-2",143,214,154,255,19,5,6,796
"St. Albans City",,,131,145,230,89,38,47,10,690
"St. Albans Town",,,93,175,147,63,28,26,13,545
"St. George",,,15,20,28,8,2,0,1,74
"St. Johnsbury",,,81,140,145,73,30,1,7,477
Stamford,,,13,23,24,4,2,0,1,67
Stannard,,,10,7,9,3,0,0,0,29
Starksboro,,,86,75,48,39,12,0,1,261
Stockbridge,,,23,22,29,31,8,0,3,116
Stowe,,,79,85,112,196,51,1,2,526
Strafford,,,66,35,30,155,0,0,1,287
Stratton,,,4,1,5,2,0,0,0,12
Sudbury,,,23,17,17,15,3,0,0,75
Sunderland,,,16,9,20,16,7,0,1,69
Sutton,,,9,13,13,9,3,1,5,53
Swanton,,,79,155,145,58,34,11,16,498
Thetford,,,73,66,100,242,14,0,2,497
Tinmouth,,,25,18,24,19,4,0,1,91
Topsham,,,27,6,35,9,10,0,3,90
Townshend,,,89,15,33,26,3,0,5,171
Troy,,,22,32,30,15,8,0,0,107
Tunbridge,,,45,27,65,85,5,3,7,237
Underhill,,,109,140,106,91,23,1,7,477
Vergennes,,,65,56,69,64,15,1,3,273
Vernon,,,52,36,67,26,14,6,2,203
Vershire,,,18,9,20,49,2,0,2,100
Victory,,,0,2,3,1,1,0,0,7
Waitsfield,,,71,77,82,84,20,0,5,339
Walden,,,28,33,32,14,8,0,1,116
Wallingford,,,52,69,65,26,13,0,4,229
Waltham,,,17,19,16,19,7,0,1,79
Wardsboro,,,36,11,18,7,3,0,2,77
Warren,,,58,40,69,70,7,0,5,249
Washington,,,21,31,24,17,7,1,2,103
Waterbury,,,113,196,167,194,36,0,2,708
Waterford,,,9,18,42,11,6,0,0,86
Waterville,,,18,18,9,6,11,1,1,64
Weathersfield,,,60,52,58,110,9,1,6,296
Wells,,,14,19,19,7,1,0,1,61
"W. Fairlee",,,9,11,23,17,4,1,3,68
"W. Haven",,,7,4,5,5,1,0,0,22
"W. Rutland",,,26,45,45,28,6,1,6,157
"W. Windsor",,,26,14,24,124,4,5,0,197
Westfield,,,11,18,19,11,4,2,0,65
Westford,,,91,126,90,82,28,0,14,431
Westminster,-,"Windham 4",13,4,8,6,0,0,1,32
Westminster,-,"Windham 5",412,54,70,75,11,0,4,626
Westmore,,,6,12,21,7,2,0,2,50
Weston,,,15,27,33,29,7,0,2,113
Weybridge,,,69,37,38,57,4,1,1,207
Wheelock,,,13,24,10,5,5,0,0,57
Whiting,,,10,16,8,6,1,0,0,41
Whitingham,,,43,12,30,14,6,0,5,110
Williamstown,,,65,63,102,28,16,3,1,278
Williston,,,273,403,353,201,58,3,14,"1,305"
Wilmington,,,68,25,60,39,9,2,3,206
Windham,,,37,12,14,3,7,0,0,73
Windsor,,,44,45,47,234,11,0,6,387
Winhall,,,10,11,35,12,5,3,0,76
Winooski,,,142,205,166,83,30,1,7,634
Wolcott,,,32,41,37,29,32,3,0,174
Woodbury,,,47,48,41,23,7,0,0,166
Woodford,,,12,8,17,2,0,1,0,40
Woodstock,,,120,84,80,335,21,1,5,646
Worcester,,,40,53,67,23,16,2,3,204
TOTALS,,,"18,276","18,079","17,579","15,323","3,759",560,"1,020","74,596"
