City/Town,Ward,Pct,"Mark Donka",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,31,0,4,35
Albany,,,23,1,5,29
Alburgh,,,78,1,26,105
Andover,,,18,0,0,18
Arlington,,,24,0,3,27
Athens,,,8,0,3,11
Bakersfield,,,25,1,10,36
Baltimore,,,10,0,0,10
Barnard,,,26,0,4,30
Barnet,,,37,1,11,49
"Barre City",,,104,5,27,136
"Barre Town",,,150,5,31,186
Barton,,,22,5,8,35
Belvidere,,,7,1,1,9
Bennington,-,"Bennington 2-1",23,0,8,31
Bennington,-,"Bennington 2-2",28,0,15,43
Benson,,,21,0,3,24
Berkshire,,,48,3,22,73
Berlin,,,49,6,20,75
Bethel,,,16,3,3,22
Bloomfield,,,1,0,0,1
Bolton,,,11,1,2,14
Bradford,,,34,0,4,38
Braintree,,,12,0,3,15
Brandon,,,67,1,24,92
Brattleboro,-,"Windham 2-1",34,0,7,41
Brattleboro,-,"Windham 2-2",26,0,4,30
Brattleboro,-,"Windham 2-3",18,0,2,20
Bridgewater,,,11,0,0,11
Bridport,,,31,0,3,34
Brighton,,,23,1,0,24
Bristol,,,42,0,7,49
Brookfield,,,5,0,0,5
Brookline,,,11,1,2,14
Brownington,,,10,0,4,14
Brunswick,,,6,1,4,11
Burke,,,21,2,5,28
Burlington,-,"Chittenden 6-1",105,3,23,131
Burlington,-,"Chittenden 6-2",18,1,3,22
Burlington,-,"Chittenden 6-3",21,1,4,26
Burlington,-,"Chittenden 6-4",15,0,4,19
Burlington,-,"Chittenden 6-5",31,1,10,42
Burlington,-,"Chittenden 6-6",3,0,2,5
Burlington,-,"Chittenden 6-7",0,0,0,0
Cabot,,,10,0,4,14
Calais,,,17,0,5,22
Cambridge,,,42,0,6,48
Canaan,,,19,2,7,28
Castleton,,,40,0,9,49
Cavendish,,,40,0,14,54
Charleston,,,24,0,3,27
Charlotte,,,26,1,10,37
Chelsea,,,30,0,10,40
Chester,,,40,1,9,50
Chittenden,,,13,0,4,17
Clarendon,,,28,2,1,31
Colchester,-,"Chittenden 9-1",49,0,13,62
Colchester,-,"Chittenden 9-2",74,0,15,89
Concord,,,99,7,80,186
Corinth,,,20,3,3,26
Cornwall,,,12,0,1,13
Coventry,,,16,5,9,30
Craftsbury,,,18,1,8,27
Danby,,,86,0,24,110
Danville,,,24,3,7,34
Derby,,,43,6,17,66
Dorset,,,25,0,3,28
Dover,,,48,0,0,48
Dummerston,,,19,0,4,23
Duxbury,,,14,0,5,19
"E. Haven",,,6,0,1,7
"E. Montpelier",,,34,2,10,46
Eden,,,8,0,4,12
Elmore,,,4,2,7,13
Enosburgh,,,43,6,30,79
Essex,-,"Chittenden 8-1",58,1,19,78
Essex,-,"Chittenden 8-2",59,2,16,77
Essex,-,"Chittenden 8-3",15,0,11,26
"Fair Haven",,,39,3,10,52
Fairfax,,,77,2,33,112
Fairfield,,,23,0,10,33
Fairlee,,,17,1,4,22
Fayston,,,9,0,3,12
Ferrisburgh,,,29,0,3,32
Fletcher,,,12,0,4,16
Franklin,,,37,10,27,74
Georgia,,,95,2,51,148
Glover,,,22,2,3,27
Goshen,,,11,0,0,11
Grafton,,,22,0,5,27
Granby,,,13,1,5,19
"Grand Isle",,,31,1,6,38
Granville,,,2,0,0,2
Greensboro,,,12,0,1,13
Groton,,,25,0,1,26
Guildhall,,,27,2,19,48
Guilford,,,15,1,3,19
Halifax,,,14,0,3,17
Hancock,,,2,0,0,2
Hardwick,,,15,0,4,19
Hartford,-,"Windsor 4-1",13,0,1,14
Hartford,-,"Windsor 4-2",57,3,6,66
Hartland,,,43,2,5,50
Highgate,,,95,4,38,137
Hinesburg,-,"Chittenden 4-1",0,0,0,0
Hinesburg,-,"Chittenden 4-2",23,0,8,31
Holland,,,6,3,2,11
Hubbardton,,,13,0,3,16
Huntington,,,16,0,4,20
"Hyde Park",,,25,1,11,37
Ira,,,12,0,0,12
Irasburg,,,14,3,9,26
"Isle La Motte",,,5,0,4,9
Jamaica,,,7,0,3,10
Jay,,,8,0,2,10
Jericho,,,76,0,15,91
Johnson,,,19,1,15,35
Killington,,,13,0,3,16
Kirby,,,27,0,13,40
Landgrove,,,0,0,2,2
Leicester,,,14,0,2,16
Lemington,,,2,0,3,5
Lincoln,,,19,1,4,24
Londonderry,,,14,0,1,15
Lowell,,,16,1,10,27
Ludlow,,,29,0,4,33
Lunenburg,,,116,12,52,180
Lyndon,,,80,4,13,97
Maidstone,,,12,3,5,20
Manchester,,,50,0,4,54
Marlboro,,,9,0,1,10
Marshfield,,,12,0,5,17
Mendon,,,14,1,8,23
Middlebury,,,39,0,10,49
Middlesex,,,16,2,10,28
"Middletown Springs",,,15,1,5,21
Milton,-,"Chittenden 10",132,7,298,437
Milton,-,"Grand Isle-Chittenden",23,0,5,28
Monkton,,,14,0,2,16
Montgomery,,,15,0,3,18
Montpelier,,,48,4,25,77
Moretown,,,24,0,6,30
Morgan,,,18,1,4,23
Morristown,,,54,3,16,73
"Mount Holly",,,29,0,6,35
"Mount Tabor",,,1,0,0,1
"New Haven",,,31,2,3,36
Newark,,,7,0,9,16
Newbury,,,39,0,11,50
Newfane,,,13,0,6,19
"Newport City",,,50,5,22,77
"Newport Town",,,9,3,5,17
"N. Hero",,,17,0,6,23
Northfield,,,45,0,14,59
Norton,,,10,2,0,12
Norwich,,,31,0,6,37
Orange,,,22,1,5,28
Orwell,,,32,1,4,37
Panton,,,12,1,1,14
Pawlet,,,18,0,5,23
Peacham,,,14,0,3,17
Peru,,,12,0,4,16
Pittsfield,,,3,0,2,5
Pittsford,,,38,2,16,56
Plainfield,,,8,1,1,10
Plymouth,,,19,1,0,20
Pomfret,,,13,0,2,15
Poultney,,,35,0,5,40
Pownal,,,22,0,4,26
Proctor,,,12,0,1,13
Putney,,,17,0,1,18
Randolph,,,51,0,5,56
Reading,,,8,0,2,10
Readsboro,,,14,0,3,17
Richford,,,25,0,13,38
Richmond,,,46,0,13,59
Ripton,,,8,0,1,9
Rochester,,,13,0,6,19
Rockingham,,,45,4,3,52
Roxbury,,,7,2,1,10
Royalton,,,25,0,16,41
Rupert,,,10,0,3,13
"Rutland City",-,"Rutland 5-1",38,1,17,56
"Rutland City",-,"Rutland 5-2",41,2,18,61
"Rutland City",-,"Rutland 5-3",15,1,10,26
"Rutland City",-,"Rutland 5-4",30,0,21,51
"Rutland Town",,,95,7,40,142
Ryegate,,,14,1,3,18
Salisbury,,,10,0,1,11
Sandgate,,,5,0,1,6
Searsburg,,,2,0,1,3
Shaftsbury,,,28,2,3,33
Sharon,,,22,1,4,27
Sheffield,,,9,0,3,12
Shelburne,-,"Chittenden 5-1",80,1,14,95
Shelburne,-,"Chittenden 5-2",56,1,13,70
Sheldon,,,28,7,11,46
Shoreham,,,12,0,3,15
Shrewsbury,,,22,0,6,28
"S. Burlington",-,"Chittenden 7-1",39,2,9,50
"S. Burlington",-,"Chittenden 7-2",61,4,18,83
"S. Burlington",-,"Chittenden 7-3",38,2,12,52
"S. Burlington",-,"Chittenden 7-4",66,3,10,79
"S. Hero",,,28,0,10,38
Springfield,-,"Windsor 3-1",2,0,0,2
Springfield,-,"Windsor 3-2",73,2,9,84
"St. Albans City",,,193,32,84,309
"St. Albans Town",-,"Franklin 3-1",94,5,24,123
"St. Albans Town",-,"Franklin 3-2",151,14,45,210
"St. George",,,5,1,2,8
"St. Johnsbury",,,66,4,13,83
Stamford,,,10,1,0,11
Stannard,,,2,0,0,2
Starksboro,,,28,1,3,32
Stockbridge,,,11,0,3,14
Stowe,,,32,1,5,38
Strafford,,,13,0,3,16
Stratton,,,3,0,1,4
Sudbury,,,14,0,5,19
Sunderland,-,"Bennington 3",0,0,0,0
Sunderland,-,"Bennington 4",5,0,2,7
Sutton,,,13,1,5,19
Swanton,,,177,12,52,241
Thetford,,,13,1,1,15
Tinmouth,-,"Rutland 2",2,0,0,2
Tinmouth,-,Rutland-Bennington,7,0,1,8
Topsham,,,24,0,4,28
Townshend,,,19,0,2,21
Troy,-,"Orleans 2",7,0,2,9
Troy,-,Orleans-Lamoille,5,1,4,10
Tunbridge,,,23,1,5,29
Underhill,,,38,0,8,46
Vergennes,,,21,1,6,28
Vernon,,,47,3,11,61
Vershire,,,8,0,2,10
Victory,,,6,1,3,10
Waitsfield,,,23,0,4,27
Walden,,,16,0,3,19
Wallingford,,,30,0,7,37
Waltham,,,0,0,2,2
Wardsboro,,,10,0,1,11
Warren,,,8,0,8,16
Washington,,,21,0,7,28
Waterbury,,,36,0,13,49
Waterford,,,15,0,4,19
Waterville,,,7,0,3,10
Weathersfield,,,41,0,2,43
Wells,,,11,0,2,13
"W. Fairlee",,,5,0,1,6
"W. Haven",,,7,0,0,7
"W. Rutland",,,26,0,6,32
"W. Windsor",,,17,1,3,21
Westfield,,,6,3,6,15
Westford,,,14,2,3,19
Westminster,-,"Windham 3",1,0,0,1
Westminster,-,"Windham 4",27,1,3,31
Westmore,,,4,0,5,9
Weston,,,14,0,4,18
Weybridge,,,6,0,5,11
Wheelock,,,11,1,3,15
Whiting,,,14,0,2,16
Whitingham,-,"Windham 6",18,0,1,19
Whitingham,-,Windham-Bennington,2,0,0,2
Williamstown,,,53,5,9,67
Williston,,,95,1,19,115
Wilmington,,,23,0,6,29
Windham,,,6,0,0,6
Windsor,,,40,1,2,43
Winhall,,,11,0,6,17
Winooski,,,27,3,14,44
Wolcott,,,14,3,5,22
Woodbury,,,21,0,6,27
Woodford,,,0,0,1,1
Woodstock,,,61,0,10,71
Worcester,,,7,0,3,10
TOTALS,,,"7,623",334,"2,445","10,402"
